filename,title,source,year,emergency_type,care_phase,doc_type,chunks
9789241549356-eng.pdf,Managing Complications in Pregnancy & Childbirth (MCPC),WHO,2017.0,Multiple (obstetric),cross-cutting,clinical_guideline,1633
WHO_Maternal_Guidelines_2025.pdf,WHO Maternal Guidelines 2025,WHO,2025.0,Multiple (maternal),cross-cutting,clinical_guideline,1550
managing pregnany for midwife and docors.pdf,Managing Pregnancy — Guide for Midwives & Doctors,Other,,Multiple (obstetric),cross-cutting,provider_guide,1601
Clinical management of obstetric and neonatal emergencies in Africa.pdf,Clinical Management of Obstetric & Neonatal Emergencies in Africa,Other,,Multiple (obstetric & neonatal),cross-cutting,clinical_guideline,663
lee-et-al-2025-part-5-neonatal-resuscitation-2025-american-heart-association-and-american-academy-of-pediatrics.pdf,AHA/AAP 2025 — Part 5: Neonatal Resuscitation,AHA-AAP,2025.0,Neonatal resuscitation,neonatal,clinical_guideline,550
9789240115835-eng.pdf,WHO maternal/newborn care guideline,WHO,,Multiple (maternal & newborn),cross-cutting,clinical_guideline,445
WHO recommendations on antiplatelet agents for the prevention of pre-eclampsia.pdf,WHO Recommendations — Antiplatelet Agents for Pre-eclampsia Prevention,WHO,2021.0,Pre-eclampsia / Eclampsia,antenatal,recommendation,425
WHO recommendations Uterotonics for prevention of postpartum haemorrhage.pdf,WHO Recommendations — Uterotonics for Prevention of PPH,WHO,2018.0,Postpartum haemorrhage,postpartum,recommendation,427
Treatment of Perinatal Mental Health Conditions.pdf,Treatment of Perinatal Mental Health Conditions,Other,,Perinatal mental health,postpartum,clinical_guideline,378
"Gestational_Hypertension_and_Preeclampsia_ACOG_Practice_Bulletin,_Number_222_1605448006.pdf",ACOG Practice Bulletin 222 — Gestational Hypertension & Pre-eclampsia,ACOG,2020.0,Pre-eclampsia / Eclampsia,antenatal,practice_bulletin,305
"WHO recommendations on the management of sickle-cell disease during pregnancy, childbirth and the interpregnancy period.pdf",WHO Recommendations — Sickle Cell Disease in Pregnancy & Childbirth,WHO,2025.0,Sickle cell disease,cross-cutting,recommendation,495
WHO recommendations on the assessment of postpartum blood loss and use of a treatment bundle for postpartum haemorrhage.pdf,WHO Recommendations — Assessment of Postpartum Blood Loss & PPH Treatment Bundle,WHO,2023.0,Postpartum haemorrhage,postpartum,recommendation,251
WHO recommendations on care for women with diabetes during pregnancy.pdf,WHO Recommendations — Care for Women with Diabetes During Pregnancy,WHO,2016.0,Gestational diabetes,antenatal,recommendation,428
postpartum-hemorrhage-number-183-october-2017.pdf,ACOG Practice Bulletin 183 — Postpartum Hemorrhage,ACOG,2017.0,Postpartum haemorrhage,postpartum,practice_bulletin,221
Essential Newborn Care (ENC) Provider Guide.pdf,Essential Newborn Care (ENC) Provider Guide,Other,,Newborn care,neonatal,provider_guide,214
policy of interventionist versus expectant management of severe pre-eclampsia before term.pdf,Interventionist vs Expectant Management of Severe Pre-eclampsia Before Term,Cochrane,2018.0,Pre-eclampsia / Eclampsia,antenatal,systematic_review,204
"Consolidated guidelines for the prevention, diagnosis and treatment of postpartum haemorrhage(2025).pdf","WHO Consolidated Guidelines — Prevention, Diagnosis & Treatment of PPH",WHO,2025.0,Postpartum haemorrhage,postpartum,clinical_guideline,192
Statement on maternal sepsis.pdf,WHO Statement on Maternal Sepsis,WHO,2017.0,Sepsis,postpartum,statement,32
National-MEWS-Final-version.pdf,National Maternal Early Warning System (MEWS),National,,Early warning / monitoring,cross-cutting,clinical_guideline,11
